pdb_id,corr_roughness_water,corr_flatness_water,mean_roughness,mean_water
3IAY,-0.20614918162108573,0.00046625681220596466,131.55066294957265,7.522522522522523
6FBG,0.9661541120344256,-0.7877650627795344,46.052754425543164,8.194444444444443
3IAG,-0.7798398420316179,-0.6750438489437719,107.9512031567258,4.027027027027025
8EDA,0.7506404381822586,0.284107467066688,84.23027167043125,3.1839080459770113
2C7P,0.5873990567356,-0.4048932895743919,40.47304457407785,7.753086419753087
3M9N,0.5331810579011637,-0.16796030411850424,25.22802545940316,6.2727272727272725
4U8C,0.8072944780825736,0.43416384375214695,85.42806555285725,1.4285714285714286
4ELU,0.8463670015478296,-0.5098009964294119,49.34508861781107,9.757575757575758
6FBH,0.8200036202866242,-0.3062794879820129,42.427333883998266,8.333333333333332
1KX5,0.3908918483513562,0.7282079605831645,29285.317404586174,33.40823970037453
1CDW,-0.48676345275356225,0.878468018252889,456.7019264615536,6.666666666666665
1PUY,-0.1410717908644738,0.2490936940366781,292.936745051416,4.809523809523808
5MVQ,0.6998435560690026,-0.7066315619778799,322.5068097756893,2.263888888888889
3NCI,0.040611537467281585,0.3725279426320107,252.20414872204555,22.91111111111111
7XH9,-0.14825765994904563,-0.23967711637158892,119.30288360965048,1.5238095238095237
2G1P,0.3662628352596797,0.017628370521229886,53.31225757332031,5.823529411764706
