pdb_id,mean_beta,std_beta,max_beta,min_beta,at_content,seq_len
2UZ4,3.1720657846433043e-18,0.6629557431637436,1.4854634904769595,-0.6808020941114689,0.375,24
2ISZ,-1.3156142841808106e-16,0.19692232813150823,0.5176810308514352,-0.44661809530426366,0.48484848484848486,66
6KXZ,1.2688263138573217e-17,1.0764922586489936,2.2283124153402043,-0.903237143919284,0.5714285714285714,28
1BX5,-8.410780489584519e-17,0.2013134045589498,0.2849571083942734,-0.4857764507835783,0.3333333333333333,18
6GZ7,-1.3952802877045887e-16,0.1780624375316649,0.21008000589653386,-0.450911479306736,0.5,24
6A7Y,4.3615904538845435e-17,0.4766723157563288,0.6516496925058314,-0.8253576537896941,0.4166666666666667,24
4GXK,-5.815453938512725e-17,0.8484240924310066,1.6728101987639008,-0.8910183675713337,0.3333333333333333,30
3ANA,9.43689570931383e-17,0.22234349543384624,0.47324306649369047,-0.35239199160636747,0.25,16
9EVH,0.0,0.0,0.0,0.0,1.0,7
8OE7,1.7601096731862239e-16,0.8056844729814234,1.376478137195627,-0.988178679698352,0.0,48
1SKW,3.013462495411139e-17,0.22963309520811923,0.40299716299057203,-0.4112895941143622,0.29411764705882354,17
7JY2,-7.510332225405471e-17,0.20641510709988733,0.26289021312209865,-0.444801978446072,0.0,12
448D,-2.700542492331462e-17,0.16584237517398864,0.24666890970628394,-0.41955240437502306,0.3333333333333333,24
4DK9,-1.9737298215558337e-16,0.31404917441576224,0.5774061264303595,-0.5198560947799323,0.47619047619047616,21
8G4G,-1.1201357302021668e-16,0.1496474091013342,0.24333755628781578,-0.23325673366365846,0.25,24
8K87,1.3100631690576846e-16,0.7530164987602517,1.3755512710087103,-0.9400223561951598,0.5277777777777778,72
1CP8,-4.3175339846533866e-17,0.25652284641116635,0.28692674063368745,-0.42744633550026395,0.5,16
6WSR,1.453382868600205e-16,0.39677472333499525,0.685348065186731,-0.6558491860343107,0.38095238095238093,42
197D,9.1196891308495e-17,0.4540627070065399,0.9509687939009428,-0.5549244493682008,0.5,16
8SJP,2.2022456717974416e-16,0.5420031429824834,0.863662679038346,-0.850692112707808,0.4032258064516129,62
1N6J,-4.5642502123478656e-17,0.12906140006678565,0.24076435940755095,-0.22984273092473662,0.7142857142857143,28
4MNB,9.992007221626409e-17,0.4258803211158551,0.7191522541210029,-0.4591666275443597,0.36363636363636365,11
2FLP,4.9563527885051634e-17,0.3877063306261201,0.5591442514607547,-0.6677139728057261,0.3333333333333333,15
6WYA,-9.588289758126352e-17,0.6023649551913876,0.9469839647540168,-0.8197698755029925,0.5238095238095238,42
8VCJ,0.0,0.0,0.0,0.0,0.48,100
8ASO,-2.6020852139652106e-17,0.08686933254287828,0.11270489985715866,-0.22402710321605476,0.42857142857142855,14
9CLU,-1.264669372808898e-16,0.47248669784838904,0.8892726690010097,-0.7465553883873011,0.45,40
1UA1,9.560253823161071e-17,0.29085016683254306,0.4490304787008768,-0.65019872234155,0.391304347826087,23
5MVQ,-1.453086017524102e-16,0.46674225949893167,1.1391504349891923,-0.4585364501358201,0.3333333333333333,24
6VFA,4.0066516412883675e-17,0.5866236057826946,1.1334113433940711,-0.7168171762946763,0.23529411764705882,17
1XAM,2.9098587338965795e-17,0.4507597552610555,0.8673490951074655,-0.44541842165501944,0.25,16
2IHM,1.2563050015495192e-16,1.013245776451697,2.161582334857669,-0.9593195127730291,0.42857142857142855,42
4GJU,2.644083782330965e-16,0.17490900953050748,0.28748049397147724,-0.4753969415891472,0.36363636363636365,22
3KQU,0.0,0.0,0.0,0.0,1.0,36
4NY8,-2.2773805633336544e-17,0.7854834136587104,1.3788863012093124,-0.9406344191318637,0.3333333333333333,30
9DVU,-6.217248937900877e-17,0.7912583462758065,2.7952196652292045,-0.9074405561004592,0.6017699115044248,113
4OCD,-6.938893903907228e-17,0.30111778001955747,0.5442052651494198,-0.5229753348128506,1.0,24
